"","Gp","Ep","Sp","ESGIp"
"Belgium-2017",82.6839689937594,27.0864949329528,81.2622667556953,80.7056500854892
"Belgium-2018",82.981957363792,29.8077075201407,81.303317834104,81.1725898464282
"Belgium-2019",82.899013919706,28.4697691950995,81.4356702441793,81.0236363319905
"Brazil-2004",36.1454335206439,99.4170672222757,70.3227629544173,47.6098610745112
"Brazil-2005",36.0022794847715,99.8949507751999,72.1993906678249,47.9083940865201
"Brazil-2006",35.8485230972997,99.4480824385905,73.8449115465231,48.0768967698919
"Brazil-2007",37.0924409981331,100,75.9275621216234,49.5206174756498
"Brazil-2008",39.5431603407819,97.2494978042158,78.3226030870022,51.7114072731981
"Brazil-2009",42.522166328412,99.9351570562182,80.2070385769984,54.6642463475359
"Brazil-2010",44.4113488079205,96.8251940679464,82.3701824521348,56.3349454388421
"Brazil-2011",44.260500895086,97.9914885841224,84.9635671817198,56.8261278121754
"Brazil-2012",43.8586384867945,94.9892218961875,86.2806992781446,56.5236929456222
"Brazil-2013",42.7491365865048,91.3396053619055,88.0312939776639,55.6940691019069
"Brazil-2014",42.5218773750416,88.9864165360427,88.6263321584228,55.4396088870087
"Brazil-2015",40.5445245312854,89.7316150112182,87.6589639780811,53.7429431996076
"Brazil-2016",40.5020526439918,93.4281512112245,86.771882267041,53.835854395171
"Brazil-2017",39.9713413341536,92.5959771628278,86.1402446815082,53.2220595221351
"Brazil-2018",39.1776948510924,94.4167942729614,85.8022232930612,52.6756749157311
"Brazil-2019",41.1353751332642,94.4193169784052,85.9224430242041,54.2497388624949
"Bulgaria-2004",48.6738081194042,29.1202712954471,75.2931453344087,52.7593168733152
"Bulgaria-2005",49.5026670280499,30.2650036916633,77.7819434792583,54.0036361014726
"Bulgaria-2006",48.98065025066,29.7820012420853,81.1749247097553,54.2246942166947
"Bulgaria-2007",49.6222535690605,27.4555749557201,83.525609059975,55.0090494015805
"Bulgaria-2008",49.1859782866821,27.8331375038033,84.9928292203177,54.9859730133462
"Bulgaria-2009",50.6128241766641,31.0713318297435,85.3494806197516,56.4517010286627
"Bulgaria-2010",50.2849147606141,32.9549699969272,85.2929995111943,56.3351249448724
"Bulgaria-2011",49.4204053634661,28.9314484637708,86.2699989469986,55.5151986791976
"Bulgaria-2012",50.0717148041233,32.1772800856885,87.1833404276743,56.4780970765601
"Bulgaria-2013",49.2159946950052,36.2880985150282,87.2906501502114,56.1585598051424
"Bulgaria-2014",48.9457775691347,35.5658713752061,85.9527483552718,55.6197346731508
"Bulgaria-2015",49.4504557576756,36.188148375973,85.5401725578028,55.9883257014504
"Bulgaria-2016",51.1063296331303,35.5446430144678,85.5277301302578,57.2441801124166
"Bulgaria-2017",51.9202453710498,33.7308130618358,85.120769292173,57.6592159264942
"Bulgaria-2018",52.381174083539,38.4128670766305,85.3196746601623,58.4471004660647
"Bulgaria-2019",53.2277357195372,36.6389384810019,84.9143528984937,58.8915767441541
"Canada-2004",91.8650344663342,41.0447447009202,76.3095389330071,88.1340996795606
"Canada-2005",90.7662923983044,42.6072738417456,77.4969350555203,87.6279849518799
"Canada-2006",92.2352739256731,43.2384321675583,78.3577768915456,89.0137108820542
"Canada-2007",91.896955478435,42.6237815450119,78.921839994031,88.8075470899939
"Canada-2008",92.565233256963,44.73923479943,79.3805286859111,89.6010031962743
"Canada-2009",93.3008401105177,47.5536971743396,79.8943413667099,90.5159613346573
"Canada-2010",92.6759825380159,46.6841313982556,80.6470402354233,90.0995227776942
"Canada-2011",92.8348465790546,47.1163825071378,80.7688334687283,90.2848924880237
"Canada-2012",93.3273782319859,47.8768209748702,80.7686564850148,90.737092463157
"Canada-2013",93.303622800427,48.093630412139,80.8353832765523,90.7492934017304
"Canada-2014",94.3767957876405,48.1322911464613,81.006716868607,91.6361669352567
"Canada-2015",94.4286520906285,48.5085370997709,81.0412200989364,91.7148898337129
"Canada-2016",94.8135981582102,49.7627354936699,81.344986004381,92.182716003127
"Canada-2017",94.9750105659143,50.642173853404,81.4464409216844,92.4026865303674
"Canada-2018",92.8034297765176,50.0644102344501,81.6552645000757,90.6775134417849
"Canada-2019",92.6675989194967,50.5198016218758,82.1470787570395,90.7049496044096
