country,year,real_interest_rate,yearQ,quarter,total_debt,debt_to_GDP,fx,nonbank_domestic_debt,bank_domestic_debt,official_domestic_debt,domestic_debt,nonbank_foreign_debt,bank_foreign_debt,official_foreign_debt,foreign_debt,woe_country_code,GDP_cte,GDP_cur,GDP_per_cap_cte,inflation_mean,inflation_end,unemployment,lending_borroeing_rate,account_balance,develop,ln_GDP_cte,ln_GDP_cur,ln_GDP_per_cap_cte,taxes,vix_EUA,vix_EUR,Scale,nominal_rate,GDP_per_cap_cur_USD,ln_GDP_per_cap_cur,yearnum,post_08,post_09,post_15,post_16,post_17,ticker,fx_volatility,less_20,bet_20_40,bet_40_60,bet_60_80,bet_80_100,more_100,fx_return,int_liq
Malaysia,2018,4.186729167,2018Q4,4,782.4475,55.12887533,0.247425013,351.0155,239.57125,594.418,594.418,148.25125,11.77825,28.00025,188.02975,548,4741,1014.018,3578,9.69E-04,1.65E-04,3.325,-3.308,2.114,EM,8.464003363,6.921675935,8.182559264,51.16815168,16.56910156,16.33180938,Units,3.25,11373.233,9.339017891,2018,YES,YES,YES,YES,YES,21,0.108801393,NO,NO,YES,YES,NO,NO,-0.027815437,99850.46926
Malaysia,2019,4.793834779,2019Q4,4,838.8125,56.41222576,0.242412787,359.305,280.50675,642.111,642.111,151.11675,19.2305,26.354,196.70125,548,4330,1076.373,3693,6.63E-04,9.91E-04,3.275,-3.175,3.292,EM,8.373322821,6.981352335,8.214194415,NA,15.38300781,15.04932422,Units,3,11414.83766,9.342669337,2019,YES,YES,YES,YES,YES,21,0.040467784,NO,NO,YES,YES,NO,NO,0.048675627,101725.9712
Mexico,2004,-0.484780798,2004Q4,4,1711.16975,20.35122291,0.088423495,868.66275,136.66325,1005.32575,1005.32575,474.74525,62.76675,168.33225,705.84425,273,3921,1446.697,2495,4.694,5.191,3.919,-1.41,-7.15E-04,EM,8.274102002,7.277038306,7.822044008,NA,15.45679389,18.88629771,Units,8.75,7484.486542,8.920587696,2004,NO,NO,NO,NO,NO,20,0.204051987,NO,YES,NO,NO,NO,NO,NA,NA
Mexico,2005,3.609083841,2005Q4,4,1809.9645,19.49327058,0.09143061,909.396,172.1065,1081.5025,1081.5025,521.4635,55.3965,151.60225,728.462,273,2308,1526.184,0.87,3.99,3.333,3.478,-1.499,-8.77E-04,EM,7.744136628,7.330525781,-0.139262067,NA,12.77984615,14.031135,Units,8.27,8277.671251,9.021316958,2005,NO,NO,NO,NO,NO,20,0.221572588,YES,NO,NO,NO,NO,NO,NA,NA
Mexico,2006,1.0551937,2006Q4,4,2019.6295,19.72573698,0.090435726,1109.44525,235.9325,1345.37775,1345.37775,485.3795,59.65825,129.21425,674.25225,273,4495,1643.052,2984,3.634,4.053,3.528,-1.282,-3.64E-04,EM,8.410720947,7.404310767,8.001019961,NA,12.78038462,16.52674885,Units,7.02,9068.294387,9.112539475,2006,NO,NO,NO,NO,NO,20,0.241486354,YES,NO,NO,NO,NO,NO,0.032889589,NA
Mexico,2007,1.674815923,2007Q4,4,2237.209,20.06876886,0.091459749,1338.5875,285.84025,1624.428,1624.428,484.7865,59.60425,68.39025,612.781,273,2291,1725.853,0.783,3.969,3.759,3.61,-1.527,-9.40E-04,EM,7.736743682,7.4534767,-0.244622583,NA,17.45256705,19.61442874,Units,7.57,9642.680605,9.17395442,2007,NO,NO,NO,NO,NO,20,0.121938851,NO,YES,NO,NO,NO,NO,-0.011001016,NA
Mexico,2008,2.385980831,2008Q4,4,2478.17275,20.48806479,0.089313809,1452.6245,293.3915,1746.01625,1746.01625,582.95975,63.2755,85.9215,732.1565,273,1144,1779.54,-0.358,5.13,6.528,3.887,-7.13E-04,-1.514,EM,7.042286172,7.484110183,NA,24.66601203,32.58267176,33.70876145,Units,8.25,10016.5713,9.211996131,2008,YES,NO,NO,NO,NO,20,1.164701276,NO,YES,NO,NO,NO,NO,0.011196439,NA
Mexico,2009,3.00776726,2009Q4,4,2936.2875,24.14116688,0.074037027,1686.632,431.1705,2117.8025,2117.8025,613.7985,67.94375,136.7425,818.485,273,-5286,1698.329,-6674,5.296,3.574,5.328,-4.125,-8.66E-04,EM,NA,7.437400105,NA,27.49034334,31.59849421,33.63477761,Units,4.5,8002.972106,8.987568265,2009,YES,YES,NO,NO,NO,20,0.606636564,NO,YES,NO,NO,NO,NO,-0.024026968,NA
Mexico,2010,0.709277589,2010Q4,4,3262.524,25.26943278,0.080039675,1712.939,501.2735,2214.21225,2214.21225,759.81725,97.76675,190.72725,1048.31175,273,5118,1806.054,3617,4.155,4.402,5.273,-3.975,-4.61E-04,EM,8.540519017,7.498899634,8.193400232,28.28401042,22.49457831,26.36127149,Units,4.5,9271.398233,9.134689481,2010,YES,YES,NO,NO,NO,20,0.263256093,NO,YES,NO,NO,NO,NO,-0.206339757,NA
Mexico,2011,-0.875864225,2011Q4,4,3588.2535,25.40324787,0.078502162,1641.634,459.0015,2100.63525,2100.63525,1114.6075,126.55375,246.457,1487.61825,273,3663,1911.319,2227,3.404,3.819,5.172,-3.336,-1.008,EM,8.206037763,7.555548859,7.708410667,27.85203098,24.20257937,30.07789683,Units,4.5,10203.42085,9.230478321,2011,YES,YES,NO,NO,NO,20,0.815239962,NO,YES,NO,NO,NO,NO,0.074995904,NA
